Name,observatory_level,aviation_level
Aira,Level 3 - Restriction on proximity to the volcano,unavailable or not collected Source
Bezymianny,Orange,Orange
Dukono,Level 2 - Alert,unavailable or not collected Source
Great Sitkin,Watch,Orange
Hayli Gubbi,unavailable or not collected,expand
Ibu,Level 2 - Alert,unavailable or not collected Source
Kīlauea,Watch,Orange
Kanlaon,2 - Moderate Level of Volcanic Unrest,unavailable or not collected Source
Karangetang,Level 2 - Alert,unavailable or not collected Source
Krasheninnikov,Yellow,Orange
Lewotobi,Level 4 - Caution,unavailable or not collected Source
Lewotolok,Level 2 - Alert,unavailable or not collected Source
Marapi,Level 2 - Alert,unavailable or not collected Source
Merapi,Level 3 - Standby,unavailable or not collected Source
Nevado del Ruiz,Yellow,unavailable or not collected Source
Popocatépetl,Yellow Alert - Phase 2,unavailable or not collected Source
Poás,Level 2 - Warning,Yellow
Raung,Level 2 - Alert,unavailable or not collected Source
Reventador,3 - Orange,unavailable or not collected Source
Sabancaya,Orange,unavailable or not collected Source
Sangay,2 - Yellow,unavailable or not collected Source
Semeru,Level 4 - Caution,unavailable or not collected Source
Sheveluch,Yellow,Orange
Stromboli,Yellow,Orange
Suwanosejima,Level 2 - Restriction on proximity to the crater,unavailable or not collected Source
Taal,1 - Low-Level Unrest,unavailable or not collected Source
Whakaari/White Island,3 - Minor volcanic eruption,Orange
Asamayama,Level 2 - Restriction on proximity to the crater,unavailable or not collected Source
Awu,Level 2 - Alert,unavailable or not collected Source
Dempo,Level 2 - Alert,unavailable or not collected Source
Kerinci,Level 2 - Alert,unavailable or not collected Source
Kusatsu-Shiranesan,Level 2 - Restriction on proximity to the crater,unavailable or not collected Source
Lokon-Empung,Level 2 - Alert,unavailable or not collected Source
Puracé,Yellow,unavailable or not collected Source
Rincón de la Vieja,Level 2 - Warning,Yellow
Sangeang Api,Level 2 - Alert,unavailable or not collected Source
Shishaldin,Advisory,Yellow
Soputan,Level 2 - Alert,unavailable or not collected Source
Tengger Caldera,Level 2 - Alert,unavailable or not collected Source
Terceira,V3,unavailable or not collected Source
Terceira,V3,unavailable or not collected Source
Turrialba,Level 2 - Warning,unavailable or not collected Source
